"filename", "language", "JavaScript JSX", "JavaScript", "JSON", "XML", "CSS", "HTML", "Markdown", "comment", "blank", "total"
"/Users/eduardomorales/Desktop/Projects/CV-Creator/src/funfunfunctions/CancelTech.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 10
"/Users/eduardomorales/Desktop/Projects/CV-Creator/src/funfunfunctions/FormPopup.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/eduardomorales/Desktop/Projects/CV-Creator/src/funfunfunctions/deleteTech.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/eduardomorales/Desktop/Projects/CV-Creator/src/funfunfunctions/educationInfo.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 1, 3, 17
"/Users/eduardomorales/Desktop/Projects/CV-Creator/src/funfunfunctions/experienceInfo.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 1, 3, 18
"/Users/eduardomorales/Desktop/Projects/CV-Creator/src/funfunfunctions/headerInfo.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/eduardomorales/Desktop/Projects/CV-Creator/src/funfunfunctions/hideEduAdd.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/eduardomorales/Desktop/Projects/CV-Creator/src/funfunfunctions/killChildren.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"/Users/eduardomorales/Desktop/Projects/CV-Creator/src/funfunfunctions/projectInfo.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/eduardomorales/Desktop/Projects/CV-Creator/src/funfunfunctions/techSkills.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/eduardomorales/Desktop/Projects/CV-Creator/src/funfunfunctions/toggleEPColor.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 1, 0, 13
"/Users/eduardomorales/Desktop/Projects/CV-Creator/src/index.css", "CSS", 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"/Users/eduardomorales/Desktop/Projects/CV-Creator/src/main.jsx", "JavaScript JSX", 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/eduardomorales/Desktop/Projects/CV-Creator/tailwind.config.cjs", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 1, 1, 12
"/Users/eduardomorales/Desktop/Projects/CV-Creator/vite.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 912, 164, 3483, 79, 6, 16, 14, 22, 177, 4873
